brand,brand_slug,model,model_slug,version,version_slug,fuel,engine,full_name
BYD,byd,Song Plus,song-plus,Champion GS,champion-gs,Eléctrico,Eléctrico,BYD Song Plus Champion GS
BYD,byd,Yuan Plus,yuan-plus,Comfort,comfort,Eléctrico,Eléctrico,BYD Yuan Plus Comfort
BYD,byd,Yuan Plus,yuan-plus,Premium,premium,Eléctrico,Eléctrico,BYD Yuan Plus Premium
Changan,changan,CS35 Plus,cs35-plus,1.4T Comfort DCT,1-4t-comfort-dct,Nafta,1.4 L,Changan CS35 Plus 1.4T Comfort DCT
Changan,changan,CS35 Plus,cs35-plus,1.4T Luxury DCT,1-4t-luxury-dct,Nafta,1.4 L,Changan CS35 Plus 1.4T Luxury DCT
Changan,changan,CS55 Plus,cs55-plus,1.5T Comfort DCT,1-5t-comfort-dct,Nafta,1.5 L,Changan CS55 Plus 1.5T Comfort DCT
Changan,changan,CS55 Plus,cs55-plus,1.5T Luxury DCT,1-5t-luxury-dct,Nafta,1.5 L,Changan CS55 Plus 1.5T Luxury DCT
Changan,changan,CS75 Plus,cs75-plus,1.5T Comfort DCT,1-5t-comfort-dct,Nafta,1.5 L,Changan CS75 Plus 1.5T Comfort DCT
Changan,changan,CS75 Plus,cs75-plus,1.5T Luxury DCT,1-5t-luxury-dct,Nafta,1.5 L,Changan CS75 Plus 1.5T Luxury DCT
Changan,changan,Hunter,hunter,1.9TD 4x2 Luxury AT,1-9td-4x2-luxury-at,Diesel,1.9 L,Changan Hunter 1.9TD 4x2 Luxury AT
Changan,changan,Hunter,hunter,1.9TD 4x4 Luxury AT,1-9td-4x4-luxury-at,Diesel,1.9 L,Changan Hunter 1.9TD 4x4 Luxury AT
Chery,chery,Tiggo 2 Pro,tiggo-2-pro,1.5 Comfort,1-5-comfort,Nafta,1.5 L,Chery Tiggo 2 Pro 1.5 Comfort
Chery,chery,Tiggo 2 Pro,tiggo-2-pro,1.5 Luxury CVT,1-5-luxury-cvt,Nafta,1.5 L,Chery Tiggo 2 Pro 1.5 Luxury CVT
Chery,chery,Tiggo 4 Pro,tiggo-4-pro,1.5T Comfort CVT,1-5t-comfort-cvt,Nafta,1.5 L,Chery Tiggo 4 Pro 1.5T Comfort CVT
Chery,chery,Tiggo 4 Pro,tiggo-4-pro,1.5T Luxury CVT,1-5t-luxury-cvt,Nafta,1.5 L,Chery Tiggo 4 Pro 1.5T Luxury CVT
Chery,chery,Tiggo 7 Pro,tiggo-7-pro,1.5T Comfort CVT,1-5t-comfort-cvt,Nafta,1.5 L,Chery Tiggo 7 Pro 1.5T Comfort CVT
Chery,chery,Tiggo 7 Pro,tiggo-7-pro,1.5T Luxury CVT,1-5t-luxury-cvt,Nafta,1.5 L,Chery Tiggo 7 Pro 1.5T Luxury CVT
Chery,chery,Tiggo 8 Pro,tiggo-8-pro,1.6T Comfort DCT,1-6t-comfort-dct,Nafta,1.6 L,Chery Tiggo 8 Pro 1.6T Comfort DCT
Chery,chery,Tiggo 8 Pro,tiggo-8-pro,1.6T Luxury DCT,1-6t-luxury-dct,Nafta,1.6 L,Chery Tiggo 8 Pro 1.6T Luxury DCT
Chery,chery,Tiggo 8 Pro,tiggo-8-pro,1.6T Luxury DCT 7 asientos,1-6t-luxury-dct-7-asientos,Nafta,1.6 L,Chery Tiggo 8 Pro 1.6T Luxury DCT 7 asientos
Chevrolet,chevrolet,Bolt EUV,bolt-euv,Premier,premier,Eléctrico,Eléctrico,Chevrolet Bolt EUV Premier
Chevrolet,chevrolet,Cruze,cruze,5P 1.4T LT AT,5p-1-4t-lt-at,Nafta,1.4 L,Chevrolet Cruze 5P 1.4T LT AT
Chevrolet,chevrolet,Cruze,cruze,5P 1.4T LTZ AT,5p-1-4t-ltz-at,Nafta,1.4 L,Chevrolet Cruze 5P 1.4T LTZ AT
Chevrolet,chevrolet,Cruze,cruze,5P 1.4T Premier AT,5p-1-4t-premier-at,Nafta,1.4 L,Chevrolet Cruze 5P 1.4T Premier AT
Chevrolet,chevrolet,Cruze,cruze,4P 1.4T LT AT,4p-1-4t-lt-at,Nafta,1.4 L,Chevrolet Cruze 4P 1.4T LT AT
Chevrolet,chevrolet,Cruze,cruze,4P 1.4T LTZ AT,4p-1-4t-ltz-at,Nafta,1.4 L,Chevrolet Cruze 4P 1.4T LTZ AT
Chevrolet,chevrolet,Cruze,cruze,4P 1.4T Premier AT,4p-1-4t-premier-at,Nafta,1.4 L,Chevrolet Cruze 4P 1.4T Premier AT
Chevrolet,chevrolet,Equinox,equinox,1.5T Premier AT AWD,1-5t-premier-at-awd,Nafta,1.5 L,Chevrolet Equinox 1.5T Premier AT AWD
Chevrolet,chevrolet,Montana,montana,1.2T MT,1-2t-mt,Nafta,1.2 L,Chevrolet Montana 1.2T MT
Chevrolet,chevrolet,Montana,montana,1.2T LTZ AT,1-2t-ltz-at,Nafta,1.2 L,Chevrolet Montana 1.2T LTZ AT
Chevrolet,chevrolet,Montana,montana,1.2T Premier AT,1-2t-premier-at,Nafta,1.2 L,Chevrolet Montana 1.2T Premier AT
Chevrolet,chevrolet,Onix,onix,1.2L MT,1-2l-mt,Nafta,1.2 L,Chevrolet Onix 1.2L MT
Chevrolet,chevrolet,Onix,onix,1.2L LT MT,1-2l-lt-mt,Nafta,1.2 L,Chevrolet Onix 1.2L LT MT
Chevrolet,chevrolet,Onix,onix,1.0T LT AT,1-0t-lt-at,Nafta,1.0 L,Chevrolet Onix 1.0T LT AT
Chevrolet,chevrolet,Onix,onix,1.0T LTZ AT,1-0t-ltz-at,Nafta,1.0 L,Chevrolet Onix 1.0T LTZ AT
Chevrolet,chevrolet,Onix,onix,1.0T Premier AT,1-0t-premier-at,Nafta,1.0 L,Chevrolet Onix 1.0T Premier AT
Chevrolet,chevrolet,Onix Plus,onix-plus,1.2L MT,1-2l-mt,Nafta,1.2 L,Chevrolet Onix Plus 1.2L MT
Chevrolet,chevrolet,Onix Plus,onix-plus,1.2L LT MT,1-2l-lt-mt,Nafta,1.2 L,Chevrolet Onix Plus 1.2L LT MT
Chevrolet,chevrolet,Onix Plus,onix-plus,1.0T LTZ AT,1-0t-ltz-at,Nafta,1.0 L,Chevrolet Onix Plus 1.0T LTZ AT
Chevrolet,chevrolet,Onix Plus,onix-plus,1.0T Premier AT,1-0t-premier-at,Nafta,1.0 L,Chevrolet Onix Plus 1.0T Premier AT
Chevrolet,chevrolet,S10,s10,2.8TD 4x2 LS MT,2-8td-4x2-ls-mt,Diesel,2.8 L,Chevrolet S10 2.8TD 4x2 LS MT
Chevrolet,chevrolet,S10,s10,2.8TD 4x2 LT AT,2-8td-4x2-lt-at,Diesel,2.8 L,Chevrolet S10 2.8TD 4x2 LT AT
Chevrolet,chevrolet,S10,s10,2.8TD 4x4 LTZ AT,2-8td-4x4-ltz-at,Diesel,2.8 L,Chevrolet S10 2.8TD 4x4 LTZ AT
Chevrolet,chevrolet,S10,s10,2.8TD 4x4 High Country AT,2-8td-4x4-high-country-at,Diesel,2.8 L,Chevrolet S10 2.8TD 4x4 High Country AT
Chevrolet,chevrolet,Spin,spin,1.8L LT MT 5 asientos,1-8l-lt-mt-5-asientos,Nafta,1.8 L,Chevrolet Spin 1.8L LT MT 5 asientos
Chevrolet,chevrolet,Spin,spin,1.8L LTZ AT 7 asientos,1-8l-ltz-at-7-asientos,Nafta,1.8 L,Chevrolet Spin 1.8L LTZ AT 7 asientos
Chevrolet,chevrolet,Tracker,tracker,1.2T MT,1-2t-mt,Nafta,1.2 L,Chevrolet Tracker 1.2T MT
Chevrolet,chevrolet,Tracker,tracker,1.2T LTZ AT,1-2t-ltz-at,Nafta,1.2 L,Chevrolet Tracker 1.2T LTZ AT
Chevrolet,chevrolet,Tracker,tracker,1.2T Premier AT,1-2t-premier-at,Nafta,1.2 L,Chevrolet Tracker 1.2T Premier AT
Chevrolet,chevrolet,Tracker,tracker,1.0T RS AT,1-0t-rs-at,Nafta,1.0 L,Chevrolet Tracker 1.0T RS AT
Chevrolet,chevrolet,Trailblazer,trailblazer,2.8TD 4x4 LTZ AT,2-8td-4x4-ltz-at,Diesel,2.8 L,Chevrolet Trailblazer 2.8TD 4x4 LTZ AT
Chevrolet,chevrolet,Trailblazer,trailblazer,2.8TD 4x4 Premier AT,2-8td-4x4-premier-at,Diesel,2.8 L,Chevrolet Trailblazer 2.8TD 4x4 Premier AT
Citroën,citroen,Berlingo,berlingo,1.6 HDi Business,1-6-hdi-business,Diesel,1.6 L,Citroën Berlingo 1.6 HDi Business
Citroën,citroen,C3,c3,1.0T Feel AT,1-0t-feel-at,Nafta,1.0 L,Citroën C3 1.0T Feel AT
Citroën,citroen,C3,c3,1.0T Shine AT,1-0t-shine-at,Nafta,1.0 L,Citroën C3 1.0T Shine AT
Citroën,citroen,C3 Aircross,c3-aircross,1.0T Feel AT,1-0t-feel-at,Nafta,1.0 L,Citroën C3 Aircross 1.0T Feel AT
Citroën,citroen,C3 Aircross,c3-aircross,1.0T Shine AT,1-0t-shine-at,Nafta,1.0 L,Citroën C3 Aircross 1.0T Shine AT
Citroën,citroen,C4 Cactus,c4-cactus,VTi 115 Feel MT,vti-115-feel-mt,Nafta,1.6 L,Citroën C4 Cactus VTi 115 Feel MT
Citroën,citroen,C4 Cactus,c4-cactus,VTi 115 Feel AT,vti-115-feel-at,Nafta,1.6 L,Citroën C4 Cactus VTi 115 Feel AT
Citroën,citroen,C4 Cactus,c4-cactus,THP 165 Shine AT,thp-165-shine-at,Nafta,1.6 L,Citroën C4 Cactus THP 165 Shine AT
Citroën,citroen,C5 Aircross,c5-aircross,1.6T Shine AT,1-6t-shine-at,Nafta,1.6 L,Citroën C5 Aircross 1.6T Shine AT
Citroën,citroen,C5 Aircross,c5-aircross,1.6T Shine AT Pack,1-6t-shine-at-pack,Nafta,1.6 L,Citroën C5 Aircross 1.6T Shine AT Pack
DFSK,dfsk,C31,c31,1.5L Truck,1-5l-truck,Nafta,1.5 L,DFSK C31 1.5L Truck
DFSK,dfsk,Glory 580,glory-580,1.5T Comfort CVT,1-5t-comfort-cvt,Nafta,1.5 L,DFSK Glory 580 1.5T Comfort CVT
DFSK,dfsk,Glory 580,glory-580,1.5T Luxury CVT,1-5t-luxury-cvt,Nafta,1.5 L,DFSK Glory 580 1.5T Luxury CVT
DFSK,dfsk,K01S,k01s,1.3L Truck,1-3l-truck,Nafta,1.3 L,DFSK K01S 1.3L Truck
DS,ds,DS 3,ds-3,1.2T So Chic AT,1-2t-so-chic-at,Nafta,1.2 L,DS DS 3 1.2T So Chic AT
DS,ds,DS 3,ds-3,1.2T Performance Line AT,1-2t-performance-line-at,Nafta,1.2 L,DS DS 3 1.2T Performance Line AT
DS,ds,DS 3,ds-3,Hybrid E-Tense AT,hybrid-e-tense-at,Nafta Eléctrico,1.6 L,DS DS 3 Hybrid E-Tense AT
DS,ds,DS 7,ds-7,1.6T So Chic AT,1-6t-so-chic-at,Nafta,1.6 L,DS DS 7 1.6T So Chic AT
DS,ds,DS 7,ds-7,1.6T Performance Line AT,1-6t-performance-line-at,Nafta,1.6 L,DS DS 7 1.6T Performance Line AT
FAW,faw,Bestune T77 Pro,bestune-t77-pro,1.5T Comfort AT,1-5t-comfort-at,Nafta,1.5 L,FAW Bestune T77 Pro 1.5T Comfort AT
FAW,faw,Bestune T77 Pro,bestune-t77-pro,1.5T Premium AT,1-5t-premium-at,Nafta,1.5 L,FAW Bestune T77 Pro 1.5T Premium AT
FIAT,fiat,Cronos,cronos,1.3L Drive GSE MT,1-3l-drive-gse-mt,Nafta,1.3 L,FIAT Cronos 1.3L Drive GSE MT
FIAT,fiat,Cronos,cronos,1.3L Drive GSE CVT,1-3l-drive-gse-cvt,Nafta,1.3 L,FIAT Cronos 1.3L Drive GSE CVT
FIAT,fiat,Cronos,cronos,1.0T Impetus CVT,1-0t-impetus-cvt,Nafta,1.0 L,FIAT Cronos 1.0T Impetus CVT
FIAT,fiat,Ducato,ducato,2.2 TD Cargo,2-2-td-cargo,Diesel,2.2 L,FIAT Ducato 2.2 TD Cargo
FIAT,fiat,Ducato,ducato,2.2 TD Combinato,2-2-td-combinato,Diesel,2.2 L,FIAT Ducato 2.2 TD Combinato
FIAT,fiat,Fiorino,fiorino,1.4L EVO Furgón,1-4l-evo-furgon,Nafta,1.4 L,FIAT Fiorino 1.4L EVO Furgón
FIAT,fiat,Fiorino,fiorino,1.4L EVO Furgón Pack Top,1-4l-evo-furgon-pack-top,Nafta,1.4 L,FIAT Fiorino 1.4L EVO Furgón Pack Top
FIAT,fiat,Mobi,mobi,1.0L Like,1-0l-like,Nafta,1.0 L,FIAT Mobi 1.0L Like
FIAT,fiat,Mobi,mobi,1.0L Trekking,1-0l-trekking,Nafta,1.0 L,FIAT Mobi 1.0L Trekking
FIAT,fiat,Pulse,pulse,1.0T Drive CVT,1-0t-drive-cvt,Nafta,1.0 L,FIAT Pulse 1.0T Drive CVT
FIAT,fiat,Pulse,pulse,1.0T Impetus CVT,1-0t-impetus-cvt,Nafta,1.0 L,FIAT Pulse 1.0T Impetus CVT
FIAT,fiat,Pulse,pulse,1.0T Abarth CVT,1-0t-abarth-cvt,Nafta,1.0 L,FIAT Pulse 1.0T Abarth CVT
FIAT,fiat,Tera,tera,1.3L Trend Base MT,1-3l-trend-base-mt,Nafta,1.3 L,FIAT Tera 1.3L Trend Base MT
FIAT,fiat,Tera,tera,1.0T Trend CVT,1-0t-trend-cvt,Nafta,1.0 L,FIAT Tera 1.0T Trend CVT
FIAT,fiat,Tera,tera,1.0T Impetus CVT,1-0t-impetus-cvt,Nafta,1.0 L,FIAT Tera 1.0T Impetus CVT
FIAT,fiat,Titano,titano,2.2TD 4x2 Ranch AT,2-2td-4x2-ranch-at,Diesel,2.2 L,FIAT Titano 2.2TD 4x2 Ranch AT
FIAT,fiat,Titano,titano,2.2TD 4x4 Ranch AT,2-2td-4x4-ranch-at,Diesel,2.2 L,FIAT Titano 2.2TD 4x4 Ranch AT
FIAT,fiat,Titano,titano,2.2TD 4x4 Volcano AT,2-2td-4x4-volcano-at,Diesel,2.2 L,FIAT Titano 2.2TD 4x4 Volcano AT
FIAT,fiat,Toro,toro,1.3T Freedom AT,1-3t-freedom-at,Nafta,1.3 L,FIAT Toro 1.3T Freedom AT
FIAT,fiat,Toro,toro,2.0TD Volcano 4x4 AT,2-0td-volcano-4x4-at,Diesel,2.0 L,FIAT Toro 2.0TD Volcano 4x4 AT
FIAT,fiat,Toro,toro,2.0TD Ranch 4x4 AT,2-0td-ranch-4x4-at,Diesel,2.0 L,FIAT Toro 2.0TD Ranch 4x4 AT
Ford,ford,Bronco Sport,bronco-sport,1.5T Big Bend AT,1-5t-big-bend-at,Nafta,1.5 L,Ford Bronco Sport 1.5T Big Bend AT
Ford,ford,Bronco Sport,bronco-sport,2.0T Wildtrak AT 4x4,2-0t-wildtrak-at-4x4,Nafta,2.0 L,Ford Bronco Sport 2.0T Wildtrak AT 4x4
Ford,ford,EcoSport,ecosport,1.5L SE MT,1-5l-se-mt,Nafta,1.5 L,Ford EcoSport 1.5L SE MT
Ford,ford,EcoSport,ecosport,1.5L Titanium AT,1-5l-titanium-at,Nafta,1.5 L,Ford EcoSport 1.5L Titanium AT
Ford,ford,F-150,f-150,3.5T V6 Platinum AT 4x4,3-5t-v6-platinum-at-4x4,Nafta,3.5 L,Ford F-150 3.5T V6 Platinum AT 4x4
Ford,ford,F-150,f-150,3.5T V6 Raptor AT 4x4,3-5t-v6-raptor-at-4x4,Nafta,3.5 L,Ford F-150 3.5T V6 Raptor AT 4x4
Ford,ford,Ka,ka,1.5L SE MT,1-5l-se-mt,Nafta,1.5 L,Ford Ka 1.5L SE MT
Ford,ford,Ka,ka,1.5L SEL AT,1-5l-sel-at,Nafta,1.5 L,Ford Ka 1.5L SEL AT
Ford,ford,Maverick,maverick,2.0T Lariat AT AWD,2-0t-lariat-at-awd,Nafta,2.0 L,Ford Maverick 2.0T Lariat AT AWD
Ford,ford,Mustang,mustang,5.0L V8 GT AT,5-0l-v8-gt-at,Nafta,5.0 L,Ford Mustang 5.0L V8 GT AT
Ford,ford,Ranger,ranger,2.0TD 4x2 XL MT,2-0td-4x2-xl-mt,Diesel,2.0 L,Ford Ranger 2.0TD 4x2 XL MT
Ford,ford,Ranger,ranger,2.0TD 4x2 XLS MT,2-0td-4x2-xls-mt,Diesel,2.0 L,Ford Ranger 2.0TD 4x2 XLS MT
Ford,ford,Ranger,ranger,2.0TD 4x2 XLT AT,2-0td-4x2-xlt-at,Diesel,2.0 L,Ford Ranger 2.0TD 4x2 XLT AT
Ford,ford,Ranger,ranger,2.0TD 4x4 XLT AT,2-0td-4x4-xlt-at,Diesel,2.0 L,Ford Ranger 2.0TD 4x4 XLT AT
Ford,ford,Ranger,ranger,2.0TD 4x4 Limited AT,2-0td-4x4-limited-at,Diesel,2.0 L,Ford Ranger 2.0TD 4x4 Limited AT
Ford,ford,Ranger,ranger,3.0TD V6 4x4 Wildtrak AT,3-0td-v6-4x4-wildtrak-at,Diesel,3.0 L,Ford Ranger 3.0TD V6 4x4 Wildtrak AT
Ford,ford,Ranger,ranger,3.0TD V6 4x4 Raptor AT,3-0td-v6-4x4-raptor-at,Diesel,3.0 L,Ford Ranger 3.0TD V6 4x4 Raptor AT
Ford,ford,Territory,territory,1.5T Trend AT,1-5t-trend-at,Nafta,1.5 L,Ford Territory 1.5T Trend AT
Ford,ford,Territory,territory,1.5T Titanium AT,1-5t-titanium-at,Nafta,1.5 L,Ford Territory 1.5T Titanium AT
Ford,ford,Transit,transit,2.2TD Furgón Medio MT,2-2td-furgon-medio-mt,Diesel,2.2 L,Ford Transit 2.2TD Furgón Medio MT
Ford,ford,Transit,transit,2.2TD Furgón Largo MT,2-2td-furgon-largo-mt,Diesel,2.2 L,Ford Transit 2.2TD Furgón Largo MT
Ford,ford,Transit,transit,2.2TD Minibus MT,2-2td-minibus-mt,Diesel,2.2 L,Ford Transit 2.2TD Minibus MT
Foton,foton,Aumark TM1,aumark-tm1,2.8TD Chasis Simple,2-8td-chasis-simple,Diesel,2.8 L,Foton Aumark TM1 2.8TD Chasis Simple
Foton,foton,Tunland V,tunland-v,2.0TD 4x2 Comfort MT,2-0td-4x2-comfort-mt,Diesel,2.0 L,Foton Tunland V 2.0TD 4x2 Comfort MT
Foton,foton,Tunland V,tunland-v,2.0TD 4x4 Luxury AT,2-0td-4x4-luxury-at,Diesel,2.0 L,Foton Tunland V 2.0TD 4x4 Luxury AT
GAC,gac,GS3,gs3,1.5T Comfort AT,1-5t-comfort-at,Nafta,1.5 L,GAC GS3 1.5T Comfort AT
